Num,Review,Review_type
70,"rt wow, олар кинопоиск д-де саундтректер жасады, бірақ мен өте ыңғайлы екенін білмедім",good
71,"менің егіздерімнің барлығы енді көптен күткен қарға толады, ол мені лақтырады",good
72,"мен сонымен бірге Кравченконы барлық метрлерге ұрып тастадым, енді ол инстаграмға кіреді",good
73,"Мен төсекте жатырмын, басқа тәттілерге оранып алдым",good
74,кел Воронеж сені алақан жайып күтіп тұр,good
75,"Мен ағаммен бірге қарап отырмын, мен бәріне ұнамсызмын",good
76,біз көпірден 2 км сағ жылдамдықпен өтіп бара жатырмыз,good
77,"ахахахха кешіріңіз, бірақ мен келесі уақытта сізде барлығына ddddd-ді көрсететін сәл бос емеспін",good
78,"Мен күттім және өзгерісті күттім, енді жазды күтемін",good
79,"күн сәтті өтті, мен ең жаман жағдайды күттім, бірақ менің көңіл-күйім тіпті керемет, және мен түнде 5 сағаттан аз ұйықтағаныма қарамастан",good
80,"иә, сондықтан күн батып, үстіңгі қабатта шай ішуге келіңіз",good
81,"q сіздің әндеріңіз өте ұнайды, andrei сәттілік сіз a",good
82,"Айгүл Маратқызы ппт қаншаға 1-ден 9-ға жомарттық үшін алғыс, сізге осы адамгершілікті аяқтау керек",good
83,демалыс күнімен,good
84,керемет клубқа шақырылды мммммммм өте қызықты ахахахахаха,good
85,"О, періште соққысы 11 сәуірде басталады, көктем қызықты болады",good
86,"қайтадан, сіз әр түрлі қалаларда қанша тұратынымызды қалай білуге ​​болады, сіз жақсы күдіктенесіз бе",good
87,"твиттерден барлығы бұзылып үлгерген, мұнда скучно болды, немесе",good
88,"сіз оны көрмедіңіз, сіз клоундарды жақсы көресіз",good
89,"ostap cae тобы - бұл біздің ұранымыз, осында біз оспапты уақытында аяқтамай аяқтадық",good
90,"Хомамен және шанамен кезекші болу керек, өйткені сіз мұны көңілді жасамайсыз, оларды жақсы көремін",good
91,олар қазір қаладағы сән осындай портфельдерге сәйкес келеді дейді,good
92,8-ші келдім Мен қайтадан өте қуаныштымын қара сағат менің сүйкімділігім екі есе қуаныш,good
93,ол Мәскеу айналма жолында 8 км шаңғыда салқын болатынын жақсы көреді,good
94,ахах мұнда Тимофееваның тегі 3 болатын тағы бір қыз,good
95,"гитараға мүлдем үйренбеген саусақтар, тіпті бұл іс жүзінде ренжімейді",good
96,5-сыныпта ағылшын әйелінің қуанышы үшін оқитын болады,good
97,"Сіз үнемі жұмыс істейсіз, және сіз қай күндері боссыз, ср дүйсенбі, жұма жұма күндері болды",good
98,Үміткерлер жарияланған кезде менің өзім қатысып тұрғандай жүрегім елжіреп кетті,good
99,Мен котлетті басқа тағамдарға ауыстырамын,good
100,Балиде мені ренжітетін жалғыз нәрсе - қызықты фильм үшін достарыммен бірге кинотеатрға бара алмау,good
101,"Базарнов бүгін жігіттің салмағы небары 6 келі болатынын қалай кептіру керек екенін сұрады, ахаха, бірақ оның уақыты келді деп айтты лол",good
102,ол глобиннен гөрі сәл жақсы болып шығады,good
103,"мен сені барлық ашуланшақтықтарыңмен жақсы көремін, д",good
104,ураааа сондықтан мен давайдинамо дедім,good
105,"Мен бәрін өзіммен бірге алып жүремін, бірақ тақырып регистрінде жоқ және бонус алатын дропбокс",good
106,"таспа осы уақытқа дейін шешілмейді, бұл дауыс заң жобасына ұқсайды, мен келісемін, бірақ олар қалай әнді бірден жазды d",good
107,7 күн ішінде бас әріппен дизайнер ақ шұлық 5 сұр реңкті қара түске боялады,good
108,"кама сенде ар-ұждан жоқ, сен мұны қалай сезінбедің",good
109,камызяки балконында 1-ден бастап бүгінгі финалға квнге билет бағасы,good
110,"иә, мәскеуліктер бұл тұжырымдамаға әбден үйренгенімен, олар билікті масқара ете алады екен",good
111,мұндай қар көшеге мммм жай сиқырлы түрде түседі,good
112,менің компьютерім Соколовскийдің мұндай қысымына шыдай алмайды,good
113,Балық тауарларын сататын мамандарды тіркеу менің болашақ жұмысым,good
114,"Менің ойымша, адамдар ол жерде сөйлесе бастағанда, ол неге өз тақырыптарына оқуды қояды?",good
115,Мен оларға қарап тұрғаным жақсы d,good
116,"rt менің қартайғаным сияқты сезіледі, о баяғыда қалай болды",good
117,Джулия 18 жасқа толғанда қайда баратынымызды біледі,good
118,"өкінішке орай, біз 218 жылы ғана кешігіп келеміз",good
119,Мен пэфардитпен уахах хс қай уақытта оралатынымды қойдым,good
120,енді мен монитор аяғының дөңгелек табанына ие болуының қорқынышты құпиясын білемін,good
121,rt aaa рахмет,good
122,иә иә сондықтан кешке қайда кім болады,good
123,"олар онда бір жыл болды, бірақ жақында ДК нұсқасында олар басқаша көрсетіле бастады",good
124,автоматты түрде салқын сөздерге ғашық болу,good
125,"өте көп, бірақ барлығы ng-ге келу мүмкін емес дейді",good
126,"демек, сізді оқитын адамдардың бұл серияны көруі сізді қызықтырмайды және олар спойлерлерді оқуға онша ұнамайды.",good
127,біз неге медальмен жүреміз?,good
128,alexfilmfreak шынымен қанша уақыт болғанын уәде еткендей,good
129,google осылайша gif қосылған қыстың өзін-өзі эффекттерін жақсы көреді,good
130,Сіз 5 рубльге аударым аласыз және оны алу үшін сізге 43 9 комиссия төлеуіңіз керек,good
131,"Барлығына рахмет, жақсы және қоюландырылған сүт",good
132,"осы маусымда қонақтардағы алғашқы жеңіске жетуге шақырады, өкінішке орай, негізгі уақытта емес, әйтеуір солай",good
133,"rt мұндай жиынтығын керемет қабылдағыштан алды, бірақ қазір менде бәрі сымсыз және батареямен жұмыс істейді",good
134,әдемі таңертең жарты сағат бұрын оянды және терезенің сыртында қарлы кесек,good
135,басқа біреудің немесе өзіңіздің жағдайыңызға бейімделу,good
136,"алға p pandas диск d d Менде панда бар, мен ВК-ға сілтеме жасаймын d",good
137,бүкіл балабақшада мұғалімдер бұл тек менің тобымда болады дейді,good
138,"екі қыз өтіп бара жатыр, мен үшінші есімді айтайын",good
139,"Бүгін мен Хайда үшін жұдырығымды ұстаймын, сізге Санкт-Петербург жұртшылығының тыныштығын үрлеуге тілектеспін",good
140,"қасқыр ұят, бірақ бірақ",good
141,"міне, «Динамо» Любовир покович Хаугенмен бірге сырттағы алғашқы жеңісі",good
142,көптеген емтихандар қалды,good
143,жұмыс аптасында оны қалай атап өтуге болады қызықты факт Ирландия Одесса,good
144,"бұл күмәнсіз, бірақ wp-ге өту уақыты келгенде дабылдар шынымен де бір рет жұмыс істейді",good
145,"Виталик туралы жаңалықтардан біз қатты таң қалдық, енді мен өзімнің ақымақ екенімді анық түсіндім",good
146,"Оксана күткендей, жалаңаш төсекке құлап, күйеуі мен жиһаз салонына таң қалды",good
147,"12-ге дейін ұйықтау қандай керемет, ол жете алмады",good
148,Регинадан кетіп бара жатқанда бәрі жақсы болады,good
149,Джефф Сұлу онлайн режимінде таратқаны үшін алғыс білдірді,good
150,RT ертең 33 гимназияда Жаңа жылдық жәрмеңке 1-де басталады,good
151,"Білмеймін, бірақ олар біздің келбетіміз пайда болғанға дейін бұрын осында болған",good
152,Мұны қайта айту қиынырақ болар деп қорқамын,good
153,"Менде, әдетте, мені кез келген жағынан тепкілейтін осындай тақырып бар",good
154,"ақырында, жаңа жылға біз қар жауып, батпақ көрмейміз",good
155,"егер сіз ватман сөзін жазсаңыз, онда оны 95 адам Бэтмен сияқты оқиды",good
156,"кім сізге қандай труски, менің әкеме, яғни допингке жүгінетініңізді көрсету керек",good
157,ахахахахахахахахахахахахахахахахахахахахахахахазпзмхахазпзаахмзажапзах I оригиналлееееееее азззчааззпаххаха д,good
158,"Ура біз Монға қайта жазамыз, сондықтан кезекші бола аламыз",good
159,"бәрі керемет, алғашқы смс ки гүлдерінің аюлары сүйісе бастады, енді сіз отырасыз, енді бұлай болмайтынын түсінесіз және одан да жақсы болмайды",good
160,rt ғасырдағы хабарландыру,good
161,жуынғаннан кейін мен бақыттың иісін сеземін,good
162,"орыс тілінде lit ra болды, сонымен бірге zbs d күлкіге күлді ахаха",good
163,RT қайырлы таң деласол және редман ууу,good
164,"Мен Zeno компаниясының техникалық қолдауымен сөйлесіп отырмын, есімде, веб-сайт жабылған",good
165,rt трахает жақсы писошо жаттау г.,good
166,"біз павликте емес, Донецк шахталарын көргенде қуаныштымыз",good
167,"Мен бүгін ән туралы армандадым, мен оны білмеймін және оның бір ғана жолын еске түсіремін, ол пират болған еді",good
168,"біздің мұғалім науқас болды, бағдарламаны аяқтауға уақыт болмады",good
169,rt fucked,good
170,ол өзі ойлап тапты немесе сіз тағы бір жерде әзілдер жинағын жасырасыз,good
171,"тек қазір үйкеліспен көшеде нағыз қыс келді, содан кейін қандай болды",good
172,мұнда қандай айырмашылық болмауы керек d,good
173,"Мен бүгін апама топсоптан бір нәрсе сатып алдым, айналадағы барлық қыздар маған өте жұмсақ көрінді, маған өте ыңғайсыз",good
174,ios sire-ге ауысатын кез келді,good
175,"rtu twi ufa оқып оянғандарға арналған, сыртта қар жауады және минус 1 градус аяз емес, автомобильдердің қозғалысы баяу",good
176,біздің мақтанышымыз - біздің мектеп лицейі мау лицей-интернаты 1 г алматьевск,good
177,"ол менің алдымда емес, менің артымда отырмаса d және оның қоғамға деген құштарлығы қайда оянды d",good
178,бұл сіз үшін компания үшін дәл осылай,good
179,rt-мен келесі жекпе-жектің барысында оны оқудың қажеті бар сияқты,good
180,"Мен жақында мектепке мүлдем бармадым, бірақ осы аптада мен небәрі 5 сабақ болдым, оған қоса ертең мектепке бармаймын",good
181,"егер адамдар әдеттегідей бірден сөйлесе алса, бәрі әлдеқайда жеңіл болар еді",good
182,"rt осындай ысталған финдермен, менің атам 1939 жылы соғысқан жоқ",good
183,"ол әдеттегідей жарты жолға толып, оның өтуіне мүмкіндік бермей, кең жымиды, ол траха алғанына қуанышты болды",good
184,"иә, бірақ мен оны туылу үшін аламын ба, жоқ па деп ойлаймын",good
185,ертең сосын жексенбіде таңертең Олимпиадаға ууууууууууууууууу,good
186,"жеткізді, бірақ алдын-ала қоңырау шалуды ойламадым, ата-ананың көрші тұрғандығы жақсы",good
187,"rt туылған күніңмен саған сәттілік тілеймін саған бәрінде, мені таңертең құттықтамағаным үшін кешір, мен әлі ұйықтап жатқан едім",good
188,"Жалпы, кептелістегі FSU ешқашан сезінбейтін, өйткені мен жағажайдың оң жағасында тұрамын",good
189,"ол сізге бей-жай қарамайтыны анық, бұл менің кәмпиттер практикасындағы ең дәмді кәмпиттер",good
190,"әйтпесе мен ұйықтаймын, әйтпесе мен жұмысқа шыққан кезде мұнда су басады, жұмыс күні қайтадан бұзылады",good
191,rt 18-де маникюрге жазылды,good
192,"жақсы, мен әдеттегідей кешігіп қаламын",good
193,"Мен роббиді қайтып алғым келеді, әйтпесе ол өзі сияқты жартылай ыстық емес",good
194,"rt бүгін менімен керемет биледі, маған мектеп қабатында жатқан ұнады d",good
195,"Менің ойымша, олар резервке қоюды немесе тапсыруды шешеді",good
196,"іс-әрекеттегі регенерация, анализдер мені ғарышқа жіберуге болады дейді, мен де соматикалық деп күдіктенемін",good
197,Маған жұмыста олар толтырып қойғанын айтты,good
198,"таңертең жиналыстарды өткізу - салқын мердігерлер өте ұйқылы, сондықтан сіз оларды қосымша жеңілдіктерге апара аласыз",good
199,rt aaa dadada бәрі жақсы,good
200,"егер мүмкін болса, өтінемін",good
201,rt күтті,good
202,үй женя сәрсенбіде мектепке қуана-қуана келеді,good
203,сіз тек бірінші бөлімді бірінші көресіз,good
204,пачиму оо патаму шта дедім,good
205,"супермаркетте тұрып, биатлонды көріңіз, менің дүкенім осылай жүреді",good
206,"дегенмен, ВКонтакте-де лайықты нәрсе бар",good
207,"менің сүйікті адамдарыма деген 6к батам, гей күйеуім менің мәңгілік серігім және менің гитарам",good
208,егер тек роберт баратеонның қолымен болса,good
209,ол не немесе кім көп әсер беруі керек d,good
210,"Ия, нормалар өседі, мен оны гном деп санамаймын",good
211,шақыру енгізілгеннен кейін nnm club Prirat RPG-ге ұқсас,good
212,"бүгін бір керемет жағажайда туған күн бар, мен сені туған күніңмен құттықтаймын, сен үшін ең бақытты махаббат теңізі",good
213,"rt Bridge, Интернеттің өзі сорып алады",good
214,"rt иә, нормалар өседі, мен оны гном деп санамаймын",good
215,"сиырларды жыныстық қатынасқа байланысты будандастыруға болмайды, сибаға мамытбеков бағдарламасы мүмкіндік бермейді",good
216,rt жаңа видеода фрай кэнди accola tvd new theray,good
217,"жақсы, кешіріңіз, бірақ мен үшін сіз әрқашан Малахова Вероника болып қала бересіз",good
218,"тағы да мен қыздарды түсіну өте қиын екендігіне сенімдімін, кейде бұл мүмкін емес, бірақ бұл бізді оларға тартады",good
219,"Мен мүлдем жалғыз ұйықтаймын, тіпті жұмсақ ойыншықтарсыз",good
220,"Ия, мен енді жазбаймын, есіме түсіп, өзім жазуым керек",good
221,"өнімдегі артқы тректер, ұңғыманың кэшіне арналған шалғам гт мемкешасынан гөрі қандай жүктеме бар",good
222,"бүгін мен 5-сыныптан бастап Димамен кездестім, ол мені жақсы көреді",good
223,қар түскен сайын жаңа жылдық көңіл-күй пайда болды,good
224,репост - олардың Украинаға жібермегені өкінішті,good
225,"Мен партада осылай ұйықтаймын, жан-жақтан балалар келеді, мен қазірдің өзінде ahirelaa dd",good
226,"осындай нәрсе, бірақ кез-келген жағдайда Даниланың рөлі оған қызықты, күтпеген",good
227,"біз Алматыға келген кезде бізді бір жігіт күтіп алды, бізді пәтерге әкеліп, сонда көрсетті",good
228,4-те біз Леча Макс Валеронмен қону алаңында кездесуге келістік,good
229,"сәби бүгін біз көңілді боламыз, өйткені бұл жай, жақсы, мен кешке күтуім керек, сонда мысық бізге жетеді",good
230,келер алдында мен туралы бәрін есіңізде сақтайсыз,good
231,ересектер үшін сіз бұған ұқсамайсыз,good
232,Мен Zemfira концернін тікелей эфирде көремін,good
233,мен бүгін тартқаным жақсы,good
234,"ахаха біреудің интернеті ашық, мен қазір драма ауыстырып жатырмын",good
235,"Мен ақыры босағым келді, содан кейін мен есіктің сыртында жоғарғы жақтан естідім, ол қазірдің өзінде менің бөлмемнің босағасында, оны жақсы көремін lt 3",good
236,"керемет күн оң күн ақымақ сияқты жүгіру күні бойы мен кереметмын, бірақ мен ракалмын, бірақ маған қатты ұнады",good
237,yg барлығыңыз нашақорларсыз черин сіз сволоксыз Мен бәріңізді жек көремін д лал,good
238,"Міне, алғашқы жазылған аралар, сенің кім екеніңді білмеймін, бірақ рахмет",good
239,"бірінші емтихан 1 қаңтарда, ал соңғысы 23-де.",good
240,"хахах о, тіпті маған бұл туралы айтпаңыз",good
241,"егер сіз кафеде отырсаңыз және күндізгі сағат бірде сыра ішсеңіз, онда барлығы сізге оқ жаудырады, ал теміржол вокзалында кофеде бәрінің түсі кеш болады, содан кейін",good
242,"11-де мен тайыздықта көрінетін таяз көріністі басқардым, мен ештеңе жазбадым",good
243,"rt және тазартқыштар үшін, соның ішінде d",good
244,олар сонымен бірге 22-де доктормен бірге пайда болды,good
245,"vova 3 сізге көп рахмет, сіз бүгінгі менің кейіпкерімсіз",good
246,"сұлулық Омбы қаласын құтқарады, ал біздің серіктестеріміз эстет",good
247,"rt tkabber жұмыс істейді, бірақ бұл қорқынышты",good
248,"мен тамызда өзімді түзетіп, дұрыс сөйлей бастадым d",good
249,rt zaaval chi oolooroi x reerei amzhilt,good
250,"бірақ аспазшы оны арнайы пышақ пышақпен шаншып тастады, содан кейін қонақ үй ауласы қанға батып кетті",good
251,"Вася біз сияқты емес, біз Беларуссияның жастарымыз",good
252,"Ақырында, жақында біз күні бойы аштыққа барамыз",good
253,бір жарым жұп және тәттілер шоғыры не жақсы болуы мүмкін 3 қалайсыз,good
254,тек теледидардағы көбелектің жарнамасын оқып шығу керек,good
255,Мен 25 мектеп пен гимназияның көшбасшыларының үштігін білмейтін сияқтымын,good
256,"Мен бүгін ән туралы армандадым, оны білмеймін және бір ғана жолды есіме түсіремін, ол керемет қарақшы болды, неге олай істеді",good
257,"мұндай өмір басқаша атауға ие болды және неге ол жай ғана өзім туралы бір оқиға ойлап тапты, мен оны жазып, жерге тастауым керек екенін білмеймін",good
258,"қуаныштымын ия кеше бәрі жақсы, мен суретке түстім",good
259,lad trohi 3 кеудесін асыра орындады,good
260,"agmdgsedges Роджеринада менің сүйікті өлеңім бар, сен бейбіт өмірде өлуге болады",good
261,басындағы үгінділер тек Винни Пухтың көмегімен ғана емес,good
262,rt осындай нәрсе,good
263,мен teamfollowback есірткі сынақтарынан ақша таптым,good
264,сауығып кет,good
265,"сен қазірдің өзінде менің екінші досымсың, Норвегияға барғысы келеді, тағы бір швед бар, маған суық ұнамайды",good
266,rt i amil және raskar жұмыс істейді,good
267,rt бәрінің жақсы жұма достары бар,good
268,және басқа кім жақсы интернеттегі дизайн кітаптарын өзіңізге емес ұсына алады,good
269,"менің тобымда бір әтешті қоспағанда, сол баяғы",good
270,"Мен ескі жапондық фильмдерді көремін, өйткені олар керемет",good
271,"қыз, сені қайда апарамын, ашуланғанымнан, маған шеруге бензин керек жерде жауап беремін",good
272,"Айтпақшы, біз бәрібір үлкен стипендиаттармыз, біздің топ олимпиадада бірінші орынға ие болды",good
273,жарылғыш заттар мен оқ-дәрілердің заңсыз айналымы,good
274,ох тибет күлкілі,good
275,"Дүйсенбіде мені дәрігерге қаратып, мен ауырып қалдым",good
276,ойын жаңалықтары sony PS4-тің өзінің алдындағыдан жеңіске жетуін болжайды,good
277,шоколад тәжірибесі,good
278,рахмет p s жай байқадым,good
279,"ең өкініштісі, тіпті себептермен, себептермен және мотивтермен де, мен мұндағы азапты соншалықты қайғылы ете алмаймын",good
280,rt және радиорелоны қалай дайындайсыз?,good
281,"Жақсы, жарайды, сен гей деп айтқандай, саған су келетін су келеді, бірақ мен үшін",good
282,психолог сұрайды және бұл қалай көрінеді?,good
283,"Қарғыс атқыр, жанжал, мен жай қуанышпен бәрін ұмытып кеттім, енді мен ақымақ сияқты, пәтерді айналып өтіп, киініп жүрмін",good
284,"5 барлық ақша таусылып, сіз сот шығындарының көп мөлшерін қосқанда төлеуіңіз керек болғанда және сіз бала үшін түрмеге қамалғыңыз келсе",good
285,демалыс күндері барлығына арналған жұлдыз жорамал видео кеш Hustle hustlehard,good
286,таблеткаға қалай салуға болатынын көріңіз,good
287,мектептен кейін nefig webcamtoy жасаңыз,good
288,аһаха қатты қақпақ қорғасынның жыртылуына мүмкіндік береді,good
289,"Менде тағы бір ауыз қан бар ска, ол өте дәмді",good
290,Рождество кубогының дизайны Кузина Нск Рождество Кузина,good
291,экспозиция Серёга Еронин алдыңғы адамға өте қымбат неміс машинасының бөлшектерін сатып алды,good
292,"саусағыммен не істедім, ол көгерген және ісінген",good
293,rt және менің махаббатым кохан хоран қайда жоғалып кетті? Мен оны бұған дейін 2 минут ішінде лентада көрген емеспін,good
294,қарғыс атқыр жарты жыл осы күнді күтіп отырмын және бәрі салқын,good
295,"бірақ мен пернетақтаға қарамай теріп жатырмын және t k әріптерін шатастырмаймын, Шахиджанянның пернетақтасында жеке курсты басынан аяғына дейін бардым",good
296,rt бұл Коста-Рикадағы осындай өсімдік,good
297,"Мен өмірде лемурмын және хайуанаттар бағында жасырмайтын пілмін, бірақ мен піл қандай есекке тығылатынын жасырамын және мен шөптің ішіндемін, мен тек шөпке барамын d",good
298,писдес д и қатты күлді ахахаха курт спирттік ішімдік ішпегені анық,good
299,"Жақсы, бірақ олар мені өмірге апармады, сондықтан мен қайтадан қайғырамын",good
300,"және бұл әріптес, ол әлі күнге дейін өзінің Форскверде күйгенін білмейді",good
301,барлығы бақылауда болатын сәт,good
302,әлемдік әлем,good
303,m tretyakovskaya мекен-жайы бойынша mr қанағаттандыру аймағы,good
304,"кім керемет әскери-теңіз нысанына барғысы келсе, мен барлық қорғаныс аймақтары қалай жеңіліп жатқанын көргім келеді",good
305,"rt барлық 2 3 4-ке кп деп жазды, олар әдемі, ең бастысы, топтан ешкім аздап жылады, жақсы, олар шынымен қайдан екенін тапқан болар еді",good
306,"сондықтан қазір мен твиттерге жазыламын d, әрине, егер біреу мені оқыса, онда ол не туралы екенін түсінеді.",good
307,"Мен сіздің поштаңызды тастаймын, сонымен бірге бүгін қара жұма бар, жеңілдікпен тауарларға үлкен жеңілдіктер бар",good
308,"Мен сессиядан кейін портфолионы бөлшектедім, онда басқалардың заттары бар, олар FIG-ге барған кезде алып кетпеген, мен бәрін тастаймын",good
309,"Мен 5 қарашадан бері келген жоқпын, міне 4 ізбасар, екі Пиндо, қандай да бір топ және менің дос қызым бар, бірақ олардың барлығы менің жазуларыма көңіл бөледі",good
310,бізде әлемдегі ең жақсы мектеп бар ddd light ура ура урра урра ддд мен сені жақсы көремін балам иә дддд,good
311,"Мен 1-ге дейінгі проблемалармен бөліскім келеді, сен тек біреу айтатын нәрсені ұрлауың керек, ал 2-де қасында болатын адам керек.",good
312,телефонмен сөйлесті тамаша серуендеу керек д,good
313,оларға қарсы шығу бүлікші төсекке бару,good
314,"Маған ұнайды мектепте, ең бастысы тыныш отыру және сыныптан шықпау",good
315,"tyk сізде әлі 33 адам бар, сондықтан мұнда толтырмаңыз d",good
316,мен тағы да кішкентай туылған ұлыма десерт дайындаймын,good
317,ал кеше ол мені монстр d жарылыстарының жаңа клипін көрдің бе деп сұрайды,good
318,"Ия, бұны әркім әлдеқашан жариялап үлгерген, бірақ мен оны әлі жоқ, маған да ұнайды, сондықтан осында",good
319,Мен балаға бәрін сәнді етіп жұлдызша әріптеріндегі жапсырмалармен жапсырамыз деп уәде берген болатынмын,good
320,сіз ашулысыз және сіз Краснодарға келген кезде плакатта бұқамен бірге кім болатынын білесіз,good
